Age;Education;Marital_Status;Income;Children;users_day;Costs;AcceptedCmp;Purchase;O
34;Graduation;relationship;25545;1;3385;210;1;7;1
35;Graduation;relationship;32880;1;3504;42;0;4;1
63;PhD;relationship;77863;0;2910;1291;0;19;2
44;Master;relationship;50353;0;2658;442;0;14;1
57;Graduation;Single;61839;0;3264;1895;0;16;1
61;PhD;relationship;49154;2;3171;411;0;13;2
46;Bachelor;Single;47682;1;3195;521;0;15;2
52;Graduation;Single;72679;1;2980;1168;0;16;1
44;Master;relationship;57954;2;2707;493;1;16;1
59;Graduation;relationship;65316;2;3127;260;0;10;1
39;Graduation;Single;28567;1;3073;46;0;5;1
70;Master;relationship;47352;1;2933;319;0;12;1
54;Graduation;relationship;44931;1;2858;96;0;6;1
54;Graduation;Single;76982;0;2830;1062;2;15;1
69;Bachelor;relationship;57247;1;3021;232;0;10;2
40;Master;Single;22944;1;2884;76;0;6;1
44;Bachelor;relationship;25315;1;3049;54;0;6;2
52;Graduation;Single;43638;1;3447;201;0;9;1
37;PhD;Single;42710;1;3274;406;0;12;2
39;PhD;relationship;84169;0;3052;1919;3;19;2
45;Graduation;relationship;54058;1;3145;662;0;18;1
31;Bachelor;relationship;24683;1;2661;41;0;6;2
57;Graduation;Single;85620;0;2694;1600;1;13;1
41;Graduation;relationship;47850;1;3170;134;0;7;1
53;Graduation;relationship;19514;2;2850;69;2;6;1
48;Master;relationship;27159;2;2788;21;0;4;1
58;Bachelor;Single;39548;2;2786;54;0;5;2
32;Graduation;Single;21474;1;2660;91;2;6;1
50;PhD;Single;60504;1;2693;526;0;16;2
58;Graduation;relationship;22419;0;3133;162;0;7;1
72;Master;relationship;81698;0;3079;1008;1;24;1
69;Graduation;relationship;43462;2;3263;240;0;10;1
43;PhD;Single;54880;1;3238;795;0;19;2
39;Graduation;relationship;79908;0;3117;1772;1;18;1
51;Bachelor;relationship;15315;0;3174;64;0;6;2
62;Graduation;relationship;87771;1;3099;1957;5;19;1
43;Graduation;relationship;33039;1;2989;78;0;6;1
41;Graduation;Single;81741;0;3074;1572;0;19;1
50;Master;relationship;71499;1;3065;795;0;24;1
51;Bachelor;relationship;62466;1;2861;889;0;21;2
58;PhD;Single;48799;1;3110;331;0;12;2
71;PhD;relationship;52157;1;2689;265;0;10;2
59;Graduation;Single;66565;1;3474;1065;0;15;1
70;Master;relationship;29298;2;3051;11;0;3;1
42;Graduation;Single;47691;1;3114;21;0;3;1
51;Graduation;relationship;38200;2;3413;17;0;3;1
47;Graduation;relationship;44989;1;3263;369;0;11;1
53;PhD;relationship;38443;2;2849;38;0;4;2
43;Bachelor;Single;38593;1;2985;177;0;8;2
51;PhD;relationship;64413;1;3233;279;0;11;2
40;Master;relationship;36959;1;3200;62;0;5;1
44;PhD;relationship;61996;1;3210;1230;4;18;2
53;Graduation;relationship;51287;2;2872;182;0;8;1
51;Graduation;relationship;13260;2;3006;49;0;6;1
55;PhD;relationship;47472;2;2982;75;0;6;2
65;Master;relationship;54603;2;2991;227;0;10;1
47;PhD;relationship;45207;2;3322;215;1;10;2
70;Graduation;relationship;40689;1;3164;444;0;13;1
54;Bachelor;relationship;47821;2;2948;47;0;4;2
70;Master;relationship;27450;0;3136;143;0;6;1
38;Graduation;relationship;39453;1;2813;55;0;5;1
50;Bachelor;relationship;26850;2;2768;63;0;7;2
66;Graduation;Single;79800;0;3340;1867;4;21;1
60;Master;relationship;61794;1;2984;611;0;18;1
66;Graduation;relationship;53863;1;2739;473;1;15;1
62;Graduation;relationship;24221;0;3009;55;0;5;1
37;PhD;Single;39684;1;3262;81;1;5;2
46;Master;relationship;92163;0;3260;2086;3;21;1
56;Master;Single;69882;0;2957;1478;0;19;1
44;Graduation;relationship;33178;1;2846;49;0;4;1
49;PhD;relationship;59973;0;2928;382;0;14;2
46;Master;relationship;17459;1;2979;69;1;6;1
52;Graduation;Single;23910;1;3307;67;0;5;1
52;Master;relationship;42169;2;2949;30;0;4;1
43;Bachelor;relationship;26224;1;3145;63;0;6;2
40;Graduation;relationship;31089;1;3377;79;0;7;1
60;Graduation;Single;30081;1;3189;42;0;4;1
61;Graduation;relationship;62807;1;3363;819;0;20;1
66;Graduation;Single;72906;0;2981;1151;0;16;1
73;PhD;relationship;61467;2;3351;594;0;17;2
55;Master;relationship;49618;2;3215;129;0;7;1
35;Master;Single;21888;1;3243;213;1;8;1
48;Graduation;Single;42429;1;2570;67;0;5;1
65;Graduation;Single;26150;3;2934;28;0;4;1
46;Bachelor;relationship;30801;1;3307;45;0;4;2
56;Graduation;relationship;81168;0;2690;1193;1;17;1
52;Master;Single;26877;0;3010;268;0;10;1
77;Master;Single;45006;0;3042;266;0;11;1
48;Bachelor;relationship;18978;1;3290;37;0;4;2
54;Graduation;relationship;22574;3;2940;37;0;5;1
52;PhD;Single;48240;0;3352;882;1;22;2
47;Graduation;relationship;45837;2;3034;373;0;13;1
56;Master;Single;35791;3;3085;35;0;4;1
45;PhD;relationship;162397;2;3176;107;0;1;2
43;Graduation;Single;54162;2;3164;42;0;4;1
61;Master;relationship;30522;1;3377;326;0;12;1
60;PhD;relationship;54456;1;2930;404;0;14;2
50;Graduation;Single;31632;0;3046;95;0;5;1
72;Graduation;Single;72298;0;2600;939;2;13;1
43;Bachelor;Single;36975;1;2879;33;0;4;2
66;Bachelor;relationship;72635;0;3176;981;1;20;2
45;Graduation;relationship;13624;1;3221;36;0;5;1
46;Graduation;Single;84196;1;3176;1237;0;19;1
61;Graduation;relationship;70971;1;3342;1825;1;27;1
44;PhD;Single;34487;2;3446;103;0;6;2
44;Graduation;Single;28769;1;3254;191;0;9;1
51;PhD;relationship;69084;1;2918;1586;0;23;2
63;PhD;relationship;65488;0;2712;963;0;13;2
51;Bachelor;relationship;62466;1;2861;889;0;21;2
61;Bachelor;Single;32218;0;2830;93;2;6;2
48;Graduation;Single;83917;0;3133;1587;1;20;1
59;Graduation;Single;46102;3;2600;16;0;3;1
69;Graduation;Single;84574;0;3145;1375;0;31;1
59;Graduation;relationship;56181;1;3028;393;0;13;1
71;Master;Single;63120;1;3335;1477;1;21;1
50;Graduation;relationship;73691;1;3079;1179;1;16;1
61;Graduation;relationship;63381;1;3476;1005;0;22;1
73;PhD;relationship;76140;0;2743;1348;0;20;2
62;PhD;Single;62859;1;3242;1307;0;19;2
57;Graduation;Single;45906;1;3055;486;1;13;1
74;Master;relationship;77632;0;2965;2252;3;12;1
50;PhD;relationship;46463;2;3011;235;0;10;2
51;Graduation;relationship;105471;0;3220;1724;3;30;1
51;Master;Single;55282;1;2894;235;0;10;1
44;Master;relationship;78710;1;2733;1092;0;25;1
63;Graduation;relationship;66886;1;2982;599;0;15;1
61;Master;Single;98777;0;2828;2008;1;19;1
36;Graduation;relationship;29103;1;3367;48;0;4;1
47;Graduation;relationship;67445;1;3264;1174;0;27;1
71;PhD;relationship;50616;1;2773;67;0;6;2
66;Graduation;Single;49431;1;3539;365;0;13;1
46;Graduation;Single;153924;0;2693;6;0;0;1
68;Graduation;relationship;61278;1;2785;165;0;8;1
63;Bachelor;relationship;26490;0;3341;210;0;9;2
74;PhD;relationship;73059;1;2998;1095;0;25;2
55;PhD;Single;46734;3;2947;223;1;8;2
58;Graduation;relationship;56253;1;3413;597;0;18;1
36;Graduation;relationship;19986;1;2923;22;0;3;1
46;Graduation;Single;58330;1;2882;1064;0;23;1
41;Bachelor;relationship;25965;0;3416;74;0;5;2
65;Master;relationship;14661;0;3240;26;0;4;1
62;Graduation;relationship;18690;0;3244;60;0;4;1
47;PhD;relationship;45068;1;3105;20;0;3;2
34;Bachelor;Single;21063;1;2973;59;0;5;2
53;PhD;relationship;29187;1;2993;34;0;4;2
50;Bachelor;relationship;54690;2;3049;198;0;9;2
57;PhD;relationship;59304;1;3031;1048;0;25;2
59;Master;Single;59247;2;3018;574;0;16;1
51;Graduation;Single;66731;1;3263;1029;0;13;1
41;Graduation;relationship;77353;1;2891;670;0;18;1
46;PhD;Single;52614;1;3595;990;0;14;2
47;Graduation;relationship;26751;2;2734;11;0;3;1
58;PhD;relationship;81300;1;3303;1241;2;18;2
42;Graduation;Single;70337;0;2844;576;0;16;1
36;Bachelor;relationship;36145;1;3074;172;2;8;2
41;PhD;Single;65295;0;2884;664;0;19;2
58;Graduation;Single;68118;1;2950;928;0;21;1
54;Graduation;Single;68743;0;3364;2074;0;29;1
39;Bachelor;relationship;41039;0;3035;467;0;14;2
66;Graduation;relationship;38946;1;2944;257;0;10;1
54;Graduation;relationship;65777;0;2888;1146;0;16;1
45;PhD;Single;66476;1;3057;689;0;18;2
49;PhD;Single;86857;0;3263;2114;1;21;2
39;PhD;relationship;160803;0;3508;1717;0;29;2
32;PhD;relationship;77845;0;2740;1346;2;20;2
52;PhD;relationship;69476;0;2968;1044;0;14;2
61;PhD;Single;50611;1;3506;493;2;16;2
51;Graduation;Single;61209;0;3004;957;0;12;1
63;Master;relationship;42315;1;2900;270;0;9;1
69;Bachelor;relationship;13084;0;3199;29;0;4;2
72;Master;Single;47570;2;3092;121;1;6;1
60;Master;relationship;61923;2;3034;126;0;7;1
26;Graduation;Single;34824;0;2791;23;0;3;1
72;PhD;Single;26518;2;3025;57;1;5;2
60;Graduation;Single;45938;0;3171;636;0;18;1
61;Graduation;relationship;78468;0;2629;1004;1;27;1
48;Graduation;Single;78901;1;2981;734;0;17;1
43;Graduation;relationship;71427;2;2539;614;0;18;1
43;Graduation;Single;71022;1;2570;1453;1;18;1
33;Master;Single;90247;0;2757;1621;4;14;1
53;Master;Single;41335;1;2881;187;0;9;1
35;Graduation;relationship;71952;1;2967;1443;2;20;1
51;PhD;Single;35682;1;2698;57;0;5;2
70;Graduation;Single;43185;1;2964;637;0;18;1
73;PhD;relationship;66375;1;2916;948;1;11;2
50;Master;relationship;35178;1;2967;59;2;4;1
35;Graduation;relationship;25252;1;2900;18;0;3;1
56;Master;Single;55250;1;3312;903;0;22;1
46;Graduation;Single;33249;1;3190;112;0;6;1
68;Graduation;relationship;58398;0;3107;596;0;17;1
39;Graduation;relationship;50272;1;3052;233;0;10;1
46;PhD;relationship;76618;0;3413;1511;0;10;2
61;Bachelor;Single;87305;0;3340;1152;2;16;2
43;Graduation;relationship;25851;1;2935;48;0;5;1
51;Graduation;Single;58710;1;3151;1185;0;25;1
63;Graduation;Single;45160;2;2788;21;0;3;1
56;Master;relationship;74806;1;3253;965;0;14;1
67;Graduation;relationship;59111;0;3205;869;0;20;1
37;PhD;relationship;18988;1;2733;16;0;4;2
56;Graduation;relationship;72190;0;3197;1947;0;15;1
45;Graduation;relationship;7500;1;3599;71;2;7;1
55;Graduation;relationship;44794;1;2658;65;0;5;1
66;Graduation;relationship;80395;0;2914;1380;1;23;1
45;Master;Single;75012;0;2851;1027;0;22;1
56;Master;relationship;56962;3;2927;411;0;14;1
30;Graduation;relationship;89891;0;3136;836;1;25;1
72;PhD;Single;35946;2;2971;11;0;3;2
68;PhD;relationship;53593;2;3417;480;0;15;2
43;Graduation;relationship;66373;2;2901;606;0;16;1
73;PhD;Single;45072;3;2952;284;0;11;2
48;Graduation;Single;89694;2;2988;1472;3;11;1
72;Graduation;relationship;72025;0;2757;1677;4;25;1
48;Graduation;relationship;67432;1;3153;1335;0;17;1
69;Master;relationship;70545;1;2811;334;0;12;1
32;Bachelor;relationship;17487;1;3164;18;0;3;2
52;Graduation;relationship;62882;1;3355;1338;0;18;1
68;PhD;Single;64108;1;3159;1099;0;26;2
65;Master;relationship;34941;2;3087;97;0;6;1
71;PhD;Single;48767;3;2875;63;0;6;2
43;Bachelor;relationship;38702;1;3233;109;0;7;2
57;Graduation;relationship;82224;0;2851;902;1;20;1
69;Graduation;relationship;83844;0;2902;1574;1;19;1
46;Bachelor;relationship;17003;1;2986;38;0;6;2
26;Graduation;Single;71163;0;2630;960;0;23;1
51;Graduation;Single;33697;1;2983;28;1;3;1
67;Bachelor;relationship;63564;0;2847;1215;2;27;2
49;PhD;relationship;83443;0;2876;1497;0;21;2
63;PhD;relationship;51518;1;3172;449;0;15;2
46;Graduation;Single;58330;1;2882;1064;0;23;1
52;Graduation;relationship;80952;0;3182;1757;4;24;1
42;Graduation;relationship;75507;0;2840;1440;0;20;1
43;Bachelor;relationship;63855;0;2996;1006;0;23;2
49;PhD;relationship;62220;1;3294;1226;1;18;2
57;Graduation;relationship;58512;1;2979;1171;0;15;1
42;Master;relationship;40662;1;3167;92;0;6;1
62;PhD;relationship;38829;1;2721;99;0;7;2
40;Bachelor;relationship;35523;1;3172;66;0;6;2
54;Graduation;Single;79146;2;2762;564;0;17;1
33;Master;relationship;78285;0;2940;1427;0;20;1
43;PhD;Single;31626;1;2963;86;2;5;2
69;Graduation;Single;75127;0;2734;833;0;18;1
66;Graduation;relationship;48726;1;3124;242;0;9;1
44;Graduation;relationship;74985;0;3293;1869;0;16;1
34;Graduation;relationship;67430;0;3477;1364;0;28;1
56;Bachelor;relationship;46891;1;3232;183;0;7;2
65;Master;relationship;62058;1;3095;450;0;14;1
42;Graduation;relationship;72063;1;3175;758;0;19;1
70;PhD;relationship;78939;0;2895;1507;0;19;2
56;Graduation;Single;42720;2;3127;654;1;17;1
49;Graduation;relationship;33622;2;3138;81;0;6;1
64;PhD;relationship;6835;1;3382;137;0;1;2
68;Graduation;relationship;41452;2;3087;16;0;3;1
56;PhD;Single;40760;1;2999;93;0;6;2
63;PhD;relationship;74250;0;2850;1158;0;17;2
66;Master;Single;51124;2;2889;43;0;4;1
50;Graduation;Single;72258;1;2898;1525;0;20;1
47;PhD;Single;71466;0;2752;1230;0;18;2
45;Graduation;relationship;36283;2;2772;29;0;4;1
51;Graduation;Single;20587;1;2567;25;0;4;1
49;Graduation;relationship;30467;1;2798;24;0;3;1
49;Graduation;relationship;31590;1;3072;38;0;4;1
35;Bachelor;relationship;20425;1;3304;57;0;5;2
61;Master;relationship;17144;2;2830;47;0;7;1
53;PhD;Single;42564;1;3209;813;2;18;2
43;Master;relationship;43783;1;2727;629;1;16;1
45;Graduation;Single;40780;1;3385;377;0;13;1
76;Master;relationship;62847;0;3226;1612;0;13;1
64;PhD;relationship;82017;0;3414;729;4;16;2
71;Graduation;Single;16813;0;3041;50;1;5;1
43;Graduation;relationship;51267;2;2939;270;0;11;1
60;Graduation;Single;46524;1;3117;177;0;7;1
59;Master;Single;45183;0;3221;315;1;12;1
67;PhD;relationship;70421;1;2697;767;0;20;2
56;Bachelor;Single;60161;1;3310;1071;0;23;2
48;Graduation;relationship;73926;0;3207;1580;0;23;1
53;Graduation;relationship;19329;1;2893;60;0;7;1
51;Master;relationship;61872;1;2894;573;0;17;1
65;Graduation;Single;46984;2;3156;41;0;4;1
70;Graduation;relationship;34838;2;3222;170;0;7;1
77;PhD;Single;82716;0;3110;1167;0;27;2
63;Graduation;relationship;48192;0;3086;1526;4;22;1
45;Master;relationship;49681;2;3140;458;0;15;1
50;Master;relationship;56850;1;2794;63;0;5;1
64;Graduation;relationship;55267;1;2947;405;0;13;1
49;Graduation;relationship;59666;2;3160;1027;1;13;1
49;Graduation;Single;72504;1;3086;1478;0;20;1
40;Graduation;relationship;26872;0;2952;72;0;4;1
49;Graduation;Single;21359;1;3131;48;1;5;1
46;Graduation;Single;73170;0;2725;726;0;15;1
66;Master;relationship;52750;1;3149;860;0;21;1
35;PhD;relationship;91820;0;2914;1497;0;22;2
51;PhD;relationship;65968;1;2537;495;0;16;2
45;Graduation;relationship;30772;2;2539;20;0;3;1
67;Graduation;Single;22507;0;3278;570;0;16;1
49;Graduation;relationship;65685;1;2788;769;0;20;1
43;Bachelor;relationship;25804;1;3232;55;0;5;2
41;PhD;Single;76412;0;3116;1808;3;17;2
49;Graduation;relationship;22063;1;3021;55;0;5;1
60;Graduation;Single;57091;0;2710;577;2;17;1
58;Graduation;relationship;22419;0;3133;162;0;7;1
62;Graduation;relationship;87771;1;3099;1957;5;19;1
62;Bachelor;Single;78353;1;3135;1576;0;23;2
67;Graduation;relationship;93404;3;3055;1616;2;14;1
59;Graduation;Single;37859;3;2906;36;0;4;1
63;PhD;Single;80995;1;2932;1482;0;21;2
37;Graduation;relationship;16529;1;2873;22;0;4;1
45;PhD;Single;55412;2;2915;63;0;5;2
29;Graduation;Single;48789;0;3324;680;0;17;1
54;PhD;relationship;56575;2;3116;542;0;17;2
41;Bachelor;relationship;25130;1;3200;50;0;5;2
54;Graduation;relationship;35441;2;3196;39;0;4;1
65;Graduation;relationship;71391;1;3153;1043;0;23;1
49;Master;Single;49494;1;3126;385;0;12;1
41;Graduation;Single;81702;0;3340;1633;0;26;1
41;Bachelor;Single;45889;1;3203;46;0;4;2
44;Graduation;Single;56628;1;2796;761;1;18;1
71;Graduation;relationship;34026;2;3113;76;0;6;1
47;Graduation;relationship;40049;1;3273;290;0;11;1
33;Graduation;Single;34176;1;2537;89;0;7;1
40;Graduation;relationship;19419;1;3322;70;0;7;1
61;Bachelor;relationship;82504;0;3033;1066;0;16;2
51;Graduation;relationship;81205;0;2863;2009;4;18;1
30;Bachelor;Single;61618;0;3334;1345;0;17;2
65;Master;Single;55284;1;3248;764;0;20;1
58;Graduation;Single;49980;1;2945;195;0;9;1
41;Graduation;relationship;15072;2;2963;53;0;7;1
47;Graduation;Single;49166;1;3077;368;0;11;1
67;PhD;relationship;65324;1;2571;544;0;17;2
64;Bachelor;relationship;82347;0;3444;1853;2;24;2
55;PhD;relationship;30843;2;2730;35;1;4;2
47;PhD;relationship;46374;1;2800;446;3;15;2
42;Graduation;Single;60474;1;3237;1180;0;24;1
48;Master;relationship;38576;1;2783;41;0;4;1
36;Graduation;relationship;55357;2;3191;727;0;19;1
55;Graduation;relationship;37758;2;3506;40;0;4;1
32;Bachelor;relationship;85710;0;3116;1062;1;25;2
52;Graduation;relationship;23228;1;2850;40;0;5;1
52;Master;relationship;44602;2;2830;292;0;11;1
34;Graduation;relationship;7500;0;2997;15;0;3;1
32;Bachelor;relationship;38683;1;3506;341;0;11;2
46;Bachelor;Single;49514;1;2890;369;0;11;2
48;PhD;relationship;57906;1;2931;401;0;14;2
55;Master;Single;43456;1;3156;393;0;14;1
35;Master;Single;19485;2;2974;10;0;3;1
43;Graduation;relationship;53172;1;3085;486;0;13;1
42;Graduation;relationship;30545;1;3316;69;0;5;1
38;PhD;relationship;70123;0;2970;1727;2;16;2
62;Graduation;Single;62450;1;2724;995;1;14;1
45;Graduation;relationship;21675;1;2566;45;0;7;1
40;Bachelor;Single;42395;2;2782;182;0;8;2
43;Master;relationship;61346;1;3080;989;0;22;1
68;Graduation;relationship;80812;0;2981;1677;3;17;1
50;Master;Single;42835;2;3060;595;0;16;1
38;Graduation;relationship;39922;1;3196;156;0;7;1
65;Master;Single;86424;0;2752;1226;0;27;1
43;Bachelor;relationship;17117;1;3224;128;0;7;2
49;Graduation;Single;24762;1;2601;86;2;6;1
46;Graduation;relationship;35797;1;3317;68;0;5;1
46;Graduation;Single;36627;2;3037;16;0;3;1
40;Bachelor;relationship;51111;2;2706;55;0;5;2
49;PhD;Single;86857;0;3263;2114;1;21;2
51;PhD;relationship;82072;0;3203;2018;0;18;2
68;PhD;Single;46231;3;3276;263;0;11;2
62;Graduation;relationship;42243;2;2925;55;0;5;1
59;Graduation;relationship;51195;2;3237;564;0;16;1
43;Master;Single;68092;0;2891;1281;0;18;1
48;Graduation;relationship;31814;1;2996;83;1;5;1
56;Master;Single;51390;2;3385;353;0;12;1
38;Graduation;relationship;76630;0;2862;1003;0;24;1
30;Bachelor;Single;26868;1;2756;14;0;3;2
78;PhD;Single;48948;0;3239;902;2;22;2
49;PhD;Single;55260;1;3260;1139;0;23;2
65;Graduation;relationship;64090;1;3052;797;1;19;1
63;Graduation;Single;78331;1;2853;1638;0;23;1
47;PhD;relationship;37087;1;2929;401;0;14;2
35;Graduation;Single;21846;1;2946;84;0;7;1
63;Graduation;relationship;81320;0;3088;928;0;17;1
51;Graduation;Single;54137;1;3013;203;0;9;1
54;Graduation;relationship;66825;0;3046;858;0;15;1
48;Graduation;relationship;57100;0;3139;409;0;12;1
52;Graduation;relationship;58917;3;3158;282;0;11;1
44;Graduation;Single;85072;0;2629;1423;0;17;1
60;Graduation;Single;86429;0;2916;1449;2;18;1
50;Graduation;Single;45684;1;3198;28;0;3;1
47;Graduation;relationship;47889;1;2785;67;0;5;1
35;PhD;relationship;45921;0;2600;199;0;9;2
55;PhD;Single;78420;0;3061;1453;0;21;2
29;Graduation;relationship;75114;0;3049;1253;0;18;1
58;PhD;Single;52278;1;3216;1198;1;25;2
49;Master;relationship;35641;1;3046;178;1;8;1
27;Graduation;Single;95529;0;3535;1990;2;17;1
67;Graduation;relationship;62820;0;2932;976;0;13;1
61;Master;relationship;73113;0;2881;1001;0;14;1
39;PhD;relationship;84169;0;3052;1919;3;19;2
67;Bachelor;Single;42607;1;2920;350;0;12;2
67;PhD;Single;74637;0;3103;1650;1;24;2
66;PhD;relationship;46015;2;2773;46;2;4;2
28;Graduation;Single;72354;0;3134;1228;0;18;1
52;Master;Single;39858;1;3217;95;1;6;1
73;PhD;relationship;34469;2;2781;62;0;6;2
35;Graduation;relationship;83033;1;2738;1761;1;25;1
42;Master;relationship;24401;0;3363;467;0;13;1
43;Graduation;relationship;77583;0;2601;1149;1;18;1
39;Bachelor;Single;74116;0;2877;2052;1;18;2
28;Graduation;Single;74293;0;2781;1127;0;15;1
45;PhD;relationship;68397;1;2920;1416;0;20;2
47;PhD;relationship;79632;0;2660;1113;0;19;2
32;Graduation;Single;46107;1;2601;125;0;6;1
70;PhD;Single;64950;1;3264;966;1;23;2
32;Bachelor;relationship;25443;1;3250;32;0;4;2
69;Graduation;Single;75127;0;2734;833;0;18;1
50;PhD;relationship;32892;1;2731;46;0;6;2
50;Graduation;relationship;71796;0;2944;960;0;16;1
51;PhD;relationship;67536;1;3099;1829;1;27;2
50;Graduation;Single;55239;1;3046;779;0;23;1
46;PhD;Single;60554;1;2990;811;0;21;2
69;Bachelor;Single;64831;2;2962;1120;0;14;2
59;PhD;relationship;56067;1;3040;725;0;18;2
38;Graduation;Single;82025;0;3093;1187;2;11;1
68;Graduation;relationship;94384;0;3148;2302;4;18;1
35;Bachelor;Single;14906;0;3250;66;0;6;2
34;PhD;relationship;51563;0;3597;1250;2;18;2
39;Bachelor;relationship;57937;1;2829;683;0;17;2
42;Graduation;Single;68274;2;2968;305;0;11;1
44;Graduation;relationship;39771;1;3078;50;0;5;1
46;Bachelor;Single;67893;1;3597;995;0;14;2
42;PhD;relationship;27922;1;2598;41;0;5;2
45;PhD;relationship;52190;2;2659;77;1;6;2
48;Master;Single;44051;2;3212;171;1;8;1
50;PhD;Single;42767;2;2932;131;0;6;2
45;Master;relationship;46106;2;2567;54;0;4;1
45;PhD;relationship;16927;2;2966;53;0;7;2
56;Graduation;relationship;59754;1;3595;475;1;13;1
69;Graduation;Single;53700;1;3377;694;0;18;1
48;Graduation;relationship;59041;2;2690;96;0;6;1
64;PhD;Single;54237;1;3124;361;0;12;2
54;Graduation;Single;70647;1;3342;1079;0;24;1
59;PhD;Single;52597;1;2690;578;0;17;2
52;Master;relationship;41021;1;3242;64;1;5;1
46;PhD;relationship;40233;1;2954;149;0;8;2
41;Graduation;relationship;50183;2;2700;231;0;10;1
62;Graduation;relationship;54753;1;2898;728;0;18;1
48;Graduation;relationship;92955;0;3010;1778;3;22;1
48;Graduation;relationship;33471;1;3262;93;0;7;1
47;PhD;relationship;34596;1;3138;23;1;3;2
41;Graduation;relationship;44010;1;3320;662;0;18;1
33;Graduation;relationship;84219;0;2843;1198;0;17;1
53;PhD;relationship;40706;3;3224;81;0;7;2
33;Bachelor;relationship;15716;1;3261;92;0;7;2
62;Bachelor;Single;59052;1;2920;491;0;15;2
50;Master;relationship;80573;0;3319;1564;0;23;1
59;Graduation;relationship;83715;0;2815;926;0;23;1
62;Master;relationship;82576;0;3599;1910;1;18;1
56;Master;relationship;56962;3;2927;411;0;14;1
69;Graduation;relationship;35704;2;2816;94;0;6;1
67;Graduation;relationship;53103;1;2898;1085;1;23;1
61;Bachelor;Single;46779;2;2900;23;0;3;2
56;Graduation;Single;4861;0;2703;6;0;0;1
42;Master;Single;33462;1;3052;54;0;5;1
43;Graduation;Single;63693;1;2954;1150;0;26;1
71;Graduation;relationship;80763;0;3014;1415;3;22;1
47;PhD;relationship;65352;1;3008;405;0;14;2
43;PhD;relationship;82170;0;2912;1908;0;18;2
52;Graduation;relationship;75759;0;2943;2486;4;25;1
45;Bachelor;Single;79689;0;2902;1315;0;26;2
65;PhD;Single;35340;2;2696;45;0;5;2
67;Graduation;Single;85683;0;2796;1789;5;16;1
49;Bachelor;relationship;24884;1;3273;19;0;3;2
40;Master;relationship;42021;1;3363;573;1;17;1
32;Graduation;Single;64449;1;2827;805;0;20;1
67;Graduation;Single;64587;2;2703;108;0;6;1
26;Graduation;Single;34824;0;2791;23;0;3;1
43;Graduation;relationship;75437;0;2987;1493;1;22;1
64;Graduation;relationship;26091;2;2820;89;0;6;1
48;Graduation;relationship;52845;1;3016;936;1;22;1
65;Graduation;Single;46086;1;3171;343;0;12;1
65;PhD;Single;78028;1;3324;528;3;19;2
34;PhD;Single;95169;0;2988;1901;3;11;2
40;Bachelor;relationship;56337;2;3155;724;3;17;2
34;Graduation;relationship;22434;1;3197;58;0;5;1
67;PhD;relationship;36930;1;3104;297;0;11;2
67;Graduation;Single;36130;1;3208;488;2;15;1
68;Master;relationship;65569;1;3475;859;0;21;1
69;Graduation;relationship;83844;0;2902;1574;1;19;1
53;Graduation;relationship;19514;2;2850;69;1;6;1
58;PhD;Single;36736;2;2963;17;0;3;2
42;Graduation;relationship;77568;1;3369;2194;3;20;1
45;PhD;relationship;49187;1;2571;116;0;7;2
43;Graduation;Single;30168;1;3057;279;0;11;1
53;Master;relationship;34053;1;3324;103;0;6;1
50;Master;relationship;38196;2;2768;44;0;6;1
70;Master;relationship;59412;0;2767;406;0;14;1
56;Bachelor;relationship;70924;0;2691;1363;1;19;2
52;Graduation;relationship;54165;0;3093;236;0;10;1
48;Graduation;relationship;32300;1;3181;39;0;4;1
45;Graduation;Single;20180;0;3190;137;0;7;1
48;Graduation;relationship;34961;1;2706;79;0;7;1
47;PhD;relationship;28440;1;3053;63;0;5;2
68;PhD;relationship;64504;3;3148;1314;1;18;2
55;Master;relationship;33564;1;2701;71;0;5;1
43;Graduation;relationship;17345;1;3536;58;0;5;1
54;PhD;relationship;56320;1;3025;702;0;18;2
43;Graduation;Single;28647;1;3008;94;2;6;1
34;Bachelor;Single;15038;1;3212;80;0;5;2
63;PhD;Single;32173;1;3233;22;0;4;2
57;Bachelor;relationship;68316;1;3505;1211;0;27;2
50;Graduation;relationship;74538;0;3061;1461;2;21;1
50;Graduation;Single;91700;0;3224;1968;1;19;1
52;Graduation;relationship;68695;0;2700;1091;0;15;1
44;Bachelor;relationship;31056;1;3219;55;0;4;2
48;Graduation;relationship;79593;0;2537;1366;1;18;1
41;Graduation;Single;28071;0;3365;313;0;11;1
63;PhD;relationship;37334;2;2819;62;0;7;2
49;Master;Single;46423;2;2980;92;0;6;1
50;PhD;relationship;37126;1;2787;72;2;5;2
68;Graduation;relationship;47703;1;3092;655;0;17;1
62;Graduation;relationship;61180;1;2763;704;1;16;1
67;Graduation;relationship;38998;2;3536;54;0;5;1
30;Graduation;Single;8028;0;3345;178;0;1;1
59;Graduation;relationship;76081;0;2733;1033;1;13;1
35;Graduation;relationship;34728;1;3030;36;1;4;1
56;Master;Single;33168;1;3320;122;0;7;1
55;Master;relationship;33585;1;2973;122;0;6;1
61;PhD;relationship;77037;1;2955;1123;0;26;2
37;Graduation;relationship;35196;1;3289;497;1;12;1
55;Graduation;relationship;44529;1;3114;691;1;19;1
